2017-05-22 14:26:45.701994 , Temp:  ,UV: ,Knob: 
2017-05-22 14:54:00.292459 , 36.384 ,7.0 ,829
2017-05-22 14:54:10.351930 , 35.407 ,7.0 ,829
2017-05-22 14:54:20.411374 , 35.407 ,7.0 ,829
2017-05-22 14:54:30.471016 , 36.384 ,7.0 ,829
2017-05-22 14:54:40.530224 , 36.873 ,7.0 ,829
2017-05-22 14:54:50.589713 , 36.384 ,7.0 ,829
2017-05-22 14:55:00.649104 , 35.895 ,9.0 ,829
2017-05-22 14:55:10.708737 , 36.384 ,9.0 ,381
2017-05-22 14:55:20.768175 , 36.873 ,9.0 ,381
2017-05-22 14:55:30.827584 , 36.384 ,9.0 ,381
2017-05-22 14:55:40.887024 , 36.384 ,9.0 ,381
2017-05-22 14:55:50.946569 , 36.384 ,9.0 ,381
2017-05-22 14:56:01.005914 , 38.828 ,9.0 ,381
2017-05-22 14:56:11.065755 , 35.895 ,9.0 ,381
2017-05-22 14:56:21.124920 , 36.384 ,7.0 ,381
2017-05-22 14:56:31.184360 , 36.384 ,9.0 ,381
2017-05-22 14:56:41.243785 , 35.407 ,9.0 ,381
2017-05-22 14:56:51.303306 , 36.384 ,9.0 ,381
2017-05-22 14:57:01.362772 , 36.384 ,9.0 ,381
2017-05-22 14:57:11.422311 , 35.407 ,8.0 ,745
2017-05-22 14:57:21.481744 , 36.384 ,9.0 ,745
2017-05-22 14:57:31.541048 , 35.895 ,9.0 ,745
2017-05-22 14:57:41.600447 , 36.384 ,9.0 ,745
2017-05-22 14:57:51.654182 , 36.873 ,9.0 ,745
2017-05-22 14:58:01.719584 , 35.895 ,9.0 ,745
2017-05-22 14:58:11.778898 , 36.384 ,9.0 ,745
2017-05-22 14:58:21.838455 , 36.384 ,9.0 ,745
2017-05-22 14:58:31.897782 , 35.895 ,9.0 ,745
2017-05-22 14:58:41.957292 , 35.895 ,9.0 ,745
2017-05-22 14:58:52.016788 , 35.895 ,7.0 ,745
2017-05-22 14:59:02.076169 , 35.895 ,7.0 ,745
2017-05-22 14:59:12.135853 , 36.384 ,9.0 ,784
2017-05-22 14:59:22.195301 , 35.895 ,9.0 ,784
2017-05-22 14:59:32.254625 , 35.895 ,9.0 ,784
2017-05-22 14:59:42.314054 , 35.895 ,7.0 ,784
2017-05-22 14:59:52.373578 , 35.895 ,7.0 ,784
2017-05-22 15:00:02.432850 , 35.895 ,7.0 ,784
2017-05-22 15:00:12.492441 , 35.895 ,9.0 ,784
2017-05-22 15:00:22.551860 , 36.384 ,9.0 ,784
2017-05-22 15:00:32.611346 , 35.895 ,10.0 ,784
2017-05-22 15:00:42.664184 , 35.895 ,10.0 ,784
2017-05-22 15:00:52.730195 , 35.895 ,10.0 ,784
2017-05-22 15:01:02.789807 , 36.384 ,10.0 ,784
2017-05-22 15:01:12.849216 , 36.384 ,10.0 ,648
2017-05-22 15:01:22.908432 , 35.895 ,10.0 ,648
2017-05-22 15:01:32.967907 , 36.384 ,10.0 ,648
2017-05-22 15:01:43.027348 , 35.895 ,10.0 ,648
2017-05-22 15:01:53.086813 , 36.873 ,10.0 ,648
2017-05-22 15:02:03.146598 , 35.895 ,10.0 ,648
2017-05-22 15:02:13.205847 , 35.895 ,10.0 ,648
2017-05-22 15:02:23.265434 , 35.895 ,10.0 ,648
2017-05-22 15:02:33.324880 , 35.895 ,10.0 ,648
2017-05-22 15:02:43.384123 , 35.895 ,10.0 ,648
2017-05-22 15:02:53.443685 , 37.85 ,10.0 ,648
2017-05-22 15:03:03.503097 , 36.384 ,10.0 ,648
2017-05-22 15:03:13.562569 , 36.384 ,10.0 ,232
2017-05-22 15:03:23.621859 , 36.384 ,10.0 ,232
2017-05-22 15:03:33.681393 , 36.384 ,10.0 ,232
2017-05-22 15:03:43.740856 , 35.895 ,10.0 ,232
2017-05-22 15:03:53.800282 , 36.384 ,10.0 ,232
2017-05-22 15:04:03.859826 , 36.384 ,10.0 ,232
2017-05-22 15:04:13.919151 , 36.384 ,10.0 ,232
2017-05-22 15:04:23.978615 , 36.384 ,10.0 ,232
2017-05-22 15:04:34.038161 , 36.384 ,10.0 ,232
2017-05-22 15:04:44.097537 , 35.895 ,10.0 ,232
2017-05-22 15:04:54.157335 , 35.895 ,10.0 ,232
2017-05-22 15:05:04.216599 , 36.384 ,10.0 ,232
2017-05-22 15:05:14.276146 , 35.895 ,9.0 ,26
2017-05-22 15:05:24.335466 , 35.895 ,9.0 ,26
2017-05-22 15:05:34.395054 , 36.384 ,9.0 ,26
2017-05-22 15:05:44.454332 , 35.895 ,9.0 ,26
2017-05-22 15:05:54.513820 , 35.895 ,9.0 ,26
2017-05-22 15:06:04.573262 , 36.384 ,9.0 ,26
2017-05-22 15:06:14.632757 , 36.384 ,9.0 ,26
2017-05-22 15:06:24.692229 , 36.384 ,9.0 ,26
2017-05-22 15:06:34.751614 , 35.895 ,9.0 ,26
2017-05-22 15:06:44.811108 , 36.873 ,9.0 ,26
2017-05-22 15:06:54.870649 , 36.384 ,9.0 ,26
2017-05-22 15:07:04.930090 , 36.384 ,9.0 ,26
2017-05-22 15:07:14.989736 , 36.384 ,9.0 ,386
2017-05-22 15:07:25.049059 , 35.895 ,9.0 ,386
2017-05-22 15:07:35.108348 , 36.384 ,9.0 ,386
2017-05-22 15:07:45.167979 , 36.384 ,9.0 ,386
2017-05-22 15:07:55.227454 , 36.384 ,9.0 ,386
2017-05-22 15:08:05.286968 , 35.895 ,9.0 ,386
2017-05-22 15:08:15.346373 , 35.895 ,9.0 ,386
2017-05-22 15:08:25.405908 , 40.783 ,10.0 ,386
2017-05-22 15:08:35.465593 , 36.384 ,10.0 ,386
2017-05-22 15:08:45.524880 , 36.384 ,10.0 ,386
2017-05-22 15:08:55.584260 , 35.895 ,10.0 ,386
2017-05-22 15:09:05.643616 , 36.384 ,10.0 ,386
2017-05-22 15:09:15.703282 , 36.873 ,10.0 ,741
2017-05-22 15:09:25.762447 , 36.873 ,10.0 ,741
2017-05-22 15:09:35.822091 , 36.384 ,10.0 ,741
2017-05-22 15:09:45.881314 , 36.384 ,10.0 ,741
2017-05-22 15:09:55.940984 , 36.384 ,10.0 ,741
2017-05-22 15:10:06.000411 , 36.384 ,10.0 ,741
2017-05-22 15:10:16.059842 , 35.895 ,10.0 ,741
2017-05-22 15:10:26.119290 , 36.384 ,10.0 ,741
2017-05-22 15:10:36.178725 , 36.384 ,10.0 ,741
2017-05-22 15:10:46.238226 , 36.384 ,10.0 ,741
2017-05-22 15:10:56.297774 , 36.384 ,10.0 ,741
2017-05-22 15:11:06.357238 , 36.384 ,11.0 ,741
2017-05-22 15:11:16.416708 , 36.384 ,8.0 ,947
2017-05-22 15:11:26.476314 , 36.384 ,9.0 ,947
2017-05-22 15:11:36.535513 , 36.873 ,10.0 ,947
2017-05-22 15:11:46.595026 , 35.895 ,12.0 ,947
2017-05-22 15:11:56.654190 , 36.384 ,12.0 ,947
2017-05-22 15:12:06.714003 , 36.873 ,12.0 ,947
2017-05-22 15:12:16.773500 , 35.895 ,12.0 ,947
2017-05-22 15:12:26.832825 , 36.384 ,12.0 ,947
2017-05-22 15:12:36.892292 , 36.873 ,12.0 ,947
2017-05-22 15:12:46.951686 , 36.384 ,12.0 ,947
2017-05-22 15:12:57.011242 , 35.407 ,12.0 ,947
2017-05-22 15:13:07.070651 , 36.384 ,12.0 ,947
2017-05-22 15:13:17.130316 , 36.384 ,12.0 ,356
2017-05-22 15:13:27.189546 , 36.384 ,12.0 ,356
2017-05-22 15:13:37.249179 , 35.895 ,12.0 ,356
2017-05-22 15:13:47.308639 , 36.384 ,12.0 ,356
2017-05-22 15:13:57.368131 , 36.384 ,12.0 ,356
2017-05-22 15:14:07.427380 , 36.384 ,12.0 ,356
2017-05-22 15:14:17.486906 , 36.384 ,12.0 ,356
2017-05-22 15:14:27.546445 , 35.895 ,11.0 ,356
2017-05-22 15:14:37.605836 , 36.873 ,11.0 ,356
2017-05-22 15:14:47.665434 , 36.384 ,11.0 ,356
2017-05-22 15:14:57.724784 , 36.384 ,11.0 ,356
2017-05-22 15:15:07.784398 , 36.384 ,11.0 ,356
2017-05-22 15:15:17.843771 , 36.873 ,11.0 ,952
2017-05-22 15:15:27.903326 , 35.895 ,11.0 ,952
2017-05-22 15:15:37.962486 , 36.384 ,11.0 ,952
2017-05-22 15:15:48.022135 , 36.384 ,11.0 ,952
